spm no,sex,location,latitude,longitude,species,dominant phenotype,DRy/d (era),Sd/sd (era),yspot(era),N (mel),B (mel),DR (mel),yspot(mel)
<a href=100.jpg>100</a>,m,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/DRy,Sd/Sd,-
<a href=101.jpg>101</a>,f,Camp Caiman,04.34'138,052.13'189,erato,hydara,DRy/d,Sd/sd,-
<a href=102.jpg>102</a>,m,Camp Caiman,04.34'138,052.13'189,elevatus,elevatus,,,
<a href=103.jpg>103</a>,f,Camp Caiman,04.34'138,052.13'189,erato,hydara,d/d,sd/sd,+
<a href=104.jpg>104</a>,m,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/DRy,Sd/Sd,++
<a href=105.jpg>105</a>,m,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
<a href=106.jpg>106</a>,m,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
<a href=107.jpg>107</a>,m,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
<a href=108.jpg>108</a>,m,Camp Caiman,04.34'138,052.13'189,erato,hydara,d/d,Sd/Sd,+
<a href=109.jpg>109</a>,m,Camp Caiman,04.34'138,052.13'189,egeria?,,,,
<a href=110.jpg>110</a>,m,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
<a href=111.jpg>111</a>,f,Camp Caiman,04.34'138,052.13'189,elevatus,,,,
<a href=112.jpg>112</a>,f,Camp Caiman,04.34'138,052.13'189,^Neruda,aoede,,,
<a href=113.jpg>113</a>,f,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/d,Sd/sd,+
<a href=114.jpg>114</a>,m,12km South of Caiman,04.32'138,052.07'931,erato,hydara,d/d,Sd/sd,++
<a href=115.jpg>115</a>,m,12km South of Caiman,04.32'138,052.07'931,erato,erato,DRy/DRy,Sd/sd,++
<a href=116.jpg>116</a>,f,12km South of Caiman,04.32'138,052.07'931,erato,erato,DRy/DRy,Sd/Sd,+
<a href=117.jpg>117</a>,f,12km South of Caiman,04.32'138,052.07'931,erato,erato,DRy/d,Sd/sd,++
<a href=118.jpg>118</a>,m,12km South of Caiman,04.32'138,052.07'931,erato,erato,DRy/DRy,sd/sd,+
<a href=119.jpg>119</a>,f,12km South of Caiman,04.32'138,052.07'931,erato,erato,DRy/DRy,Sd/Sd,++
<a href=120.jpg>120</a>,m,12km South of Caiman,04.32'138,052.07'931,erato,erato,DRy/d,Sd/Sd,+
<a href=121.jpg>121</a>,f?,12km South of Caiman,04.32'138,052.07'931,elevatus,,,,
<a href=122.jpg>122</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,+
<a href=123.jpg>123</a>,f,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,+
<a href=124.jpg>124</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,++
<a href=125.jpg>125</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,++
<a href=126.jpg>126</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,+
<a href=127.jpg>127</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,++
<a href=128.jpg>128</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,++
<a href=129.jpg>129</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,++
<a href=130.jpg>130</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,+
<a href=131.jpg>131</a>,m,Camp Hervo,04.26'815,052.20'349,elevatus,,,,
<a href=132.jpg>132</a>,f,Camp Hervo,04.26'815,052.20'349,elevatus,,,,
<a href=133.jpg>133</a>,m,Camp Hervo,04.26'815,052.20'349,elevatus,,,,
<a href=134.jpg>134</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,+
<a href=135.jpg>135</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,-
<a href=136.jpg>136</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,++
<a href=137.jpg>137</a>,m,Camp Hervo,04.26'815,052.20'349,elevatus,,,,,,,,
<a href=138.jpg>138</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,++,,,,
<a href=139.jpg>139</a>,f,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,++,,,,
<a href=140.jpg>140</a>,m,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,+,,,,
<a href=141.jpg>141</a>,f,Camp Hervo,04.26'815,052.20'349,erato,erato,DRy/DRy,Sd/Sd,++,,,,
<a href=142.jpg>142</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,Sd/sd,+,,,,
<a href=143.jpg>143</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+,,,,
<a href=144.jpg>144</a>,f,Montsinery,04.55'281,052.27'650,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=145.jpg>145</a>,f,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=146.jpg>146</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=147.jpg>147</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=148.jpg>148</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=149.jpg>149</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,++
<a href=150.jpg>150</a>,f,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=151.jpg>151</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=152.jpg>152</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=153.jpg>153</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=154.jpg>154</a>,f,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=155.jpg>155</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,++
<a href=156.jpg>156</a>,f,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=157.jpg>157</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,++
<a href=158.jpg>158</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,++
<a href=159.jpg>159</a>,f,St.Laurent du Maroni,05.28.913,053.59'927,erato,erato,DRy/d,Sd/sd,-
<a href=160.jpg>160</a>,m,St.Laurent du Maroni,05.28.913,053.59'927,erato,erato,DRy/d,Sd/Sd,-
<a href=161.jpg>161</a>,m,St.Laurent du Maroni,05.28.913,053.59'927,erato,erato,DRy/d,Sd/Sd,++
<a href=162.jpg>162</a>,m,St.Laurent du Maroni,05.28.913,053.59'927,erato,erato,DRy/d,sd/sd,++
<a href=163.jpg>163</a>,m,St.Laurent du Maroni,05.28.913,053.59'927,erato,erato,DRy/d,Sd/sd,+
<a href=164.jpg>164</a>,m,St.Laurent du Maroni,05.28.913,053.59'927,erato,erato,DRy/d,Sd/Sd,++
<a href=165.jpg>165</a>,f,St.Laurent du Maroni,05.28.913,053.59'927,erato,erato,DRy/d,Sd/sd,+
<a href=166.jpg>166</a>,m,St.Laurent du Maroni,05.28.913,053.59'927,erato,erato,DRy/DRy,Sd/Sd,+
<a href=167.jpg>167</a>,m,St.Laurent du Maroni,05.28.913,053.59'927,erato,erato,DRy/DRy,Sd/Sd,-
<a href=168.jpg>168</a>,m,10km South St. Jean,05.20'334,054.04'357,erato,erato,DRy/DRy,Sd/Sd,+
<a href=169.jpg>169</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,Sd/sd,+
<a href=170.jpg>170</a>,f,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=171.jpg>171</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=172.jpg>172</a>,f,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,Sd/sd,+
<a href=173.jpg>173</a>,f,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=174.jpg>174</a>,m,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=175.jpg>175</a>,f,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,++
<a href=176.jpg>176</a>,f,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+
<a href=177.jpg>177</a>,f,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,sd/sd,+,,,,
<a href=178.jpg>178</a>,f,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,Sd/sd,++,,,,
<a href=179.jpg>179</a>,f,Montsinery,04.55'281,052.27'650,erato,hydara,d/d,Sd/sd,+,,,,
<a href=180.jpg>180</a>,m,Belle Terre,04.55'897,052.23'715,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=181.jpg>181</a>,m,Belle Terre,04.55'897,052.23'715,erato,hydara,d/d,sd/sd,+,,,,
<a href=182.jpg>182</a>,m,Belle Terre,04.55'897,052.23'715,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=183.jpg>183</a>,f,Belle Terre,04.55'897,052.23'715,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=184.jpg>184</a>,f,Belle Terre,04.55'897,052.23'715,erato,hydara,d/d,Sd/sd,+,,,,
<a href=185.jpg>185</a>,f,Belle Terre,04.55'897,052.23'715,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=186.jpg>186</a>,m,Belle Terre,04.55'897,052.23'715,erato,hydara,d/d,Sd/sd,-,,,,
<a href=187.jpg>187</a>,m,Belle Terre,04.55'897,052.23'715,erato,hydara,d/d,sd/sd,+,,,,
<a href=188.jpg>188</a>,m,Belle Terre,04.55'897,052.23'715,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=189.jpg>189</a>,m,Belle Terre,04.55'897,052.23'715,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
